Latitude, Longitude 
50.965953,-0.082069
50.965927,-0.082081
50.965961,-0.082083
50.965950,-0.082093
50.965938,-0.082091
50.965919,-0.082098
50.965908,-0.082182
50.965942,-0.082204
50.965942,-0.082213
50.965961,-0.082182
50.965923,-0.082140
50.966068,-0.081802
50.965961,-0.081680
50.965972,-0.081812
50.966003,-0.081937
50.965988,-0.081941
50.966053,-0.082159
50.966033,-0.082254
50.966049,-0.081977
50.966152,-0.081841
50.966007,-0.082194
50.966037,-0.082296
50.966007,-0.082291
50.965988,-0.082294
50.965991,-0.082268
50.965988,-0.082266
50.966007,-0.082297
50.966079,-0.082347
50.966056,-0.082323
50.966098,-0.082334
50.966106,-0.082335
50.966110,-0.082335
50.966030,-0.082359
50.965988,-0.082165
50.965915,-0.081966
50.965728,-0.082037
50.965480,-0.082225
50.965251,-0.082387
50.964637,-0.083024
50.964824,-0.082251
50.965118,-0.082276
50.965141,-0.082290
50.965152,-0.082316
50.965164,-0.082340
50.965518,-0.082067
50.965820,-0.082016
50.965896,-0.082165
50.965995,-0.082253
50.966030,-0.082231
50.966037,-0.082236
50.966075,-0.082316
50.966094,-0.082311
50.966098,-0.082299
50.966098,-0.082286
50.966102,-0.082288
50.966110,-0.082296
50.966121,-0.082330
50.966136,-0.082350
50.966114,-0.082287
50.966064,-0.082245
50.966018,-0.082296
50.966003,-0.082336
50.965965,-0.082328
50.965911,-0.082276
50.965892,-0.082173
50.965892,-0.082159
50.965900,-0.082179
50.965915,-0.082214
50.965938,-0.082242
50.965930,-0.082254
50.965923,-0.082257
50.965919,-0.082243
50.965923,-0.082215
50.965927,-0.082200
50.965927,-0.082185
50.965927,-0.082180
50.965927,-0.082177
50.965934,-0.082165
50.965946,-0.082138
50.965942,-0.082159
50.965942,-0.082205
